Product Name,Slug,Category,Price (EUR),Compare-At Price (EUR),In Stock,Image URL,Description
ZAAD SAUSAGE CHICKEN 400G,zaad-sausage-chicken-400g,meats-seafood,3.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_3j89sp3j89sp3j89.jpg,ZAAD SAUSAGE CHICKEN 400G
ZAAD SAUSAGE BEEF 400G,zaad-sausage-beef-400g,meats-seafood,3.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_zcu3xdzcu3xdzcu3.jpg,ZAAD SAUSAGE BEEF 400G
CROWN ADANA KEBAB 900 G,crown-adana-kebab-900-g,frozen-food,9.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_hsojy9hsojy9hsoj.jpg,CROWN ADANA KEBAB 900 G
HEERA ALMOND POWDER 1KG,heera-almond-powder-1kg,dry-fruits-and-nuts,19.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_xjka54xjka54xjka.jpg,HEERA ALMOND POWDER 1KG
SHAN FRIED ONIONS 400G,shan-fried-onions-400g,spices,3.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_a6f39ua6f39ua6f3.jpg,SHAN FRIED ONIONS 400G
SHAN FRIED ONIONS 1KG,shan-fried-onions-1kg,spices,9.49,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_pwfzcupwfzcupwfz.jpg,SHAN FRIED ONIONS 1KG
HEERA PAPRIKA POWDER 1KG,heera-paprika-powder-1kg,spices,10.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_c6bn1ec6bn1ec6bn.jpg,HEERA PAPRIKA POWDER 1KG
EE CUMIN WHOLE 700G,ee-cumin-whole-700g,spices,11.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_c41oedc41oedc41o.jpg,EE CUMIN WHOLE 700G
EE CORIANDER POWDER 1KG,ee-coriander-powder-1kg,spices,8.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_mh1u68mh1u68mh1u.jpg,EE CORIANDER POWDER 1KG
EE GROUND TURMERIC 1KG,ee-ground-turmeric-1kg,spices,10.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_d7lfmyd7lfmyd7lf.jpg,EE GROUND TURMERIC 1KG
EE MADRAS CURRY POWDER HOT 1KG,ee-madras-curry-powder-hot-1kg,spices,10.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_ldyebdldyebdldye.jpg,EE MADRAS CURRY POWDER HOT 1KG
EE MADRAS CURRY POWDER MILD 1KG,ee-madras-curry-powder-mild-1kg,spices,10.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_ywyc1zywyc1zywyc.jpg,EE MADRAS CURRY POWDER MILD 1KG
EE GARAM MASALA (MIXED SPICES) 1KG,ee-garam-masala-mixed-spices-1kg,spices,13.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_49kpkr49kpkr49kp.jpg,EE GARAM MASALA (MIXED SPICES) 1KG
EE BLACK PEPPER FINE 700G,ee-black-pepper-fine-700g,spices,17.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_lo37d8lo37d8lo37.jpg,EE BLACK PEPPER FINE 700G
EE BLACK PEPPER WHOLE 800G,ee-black-pepper-whole-800g,spices,16.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_gbgmi8gbgmi8gbgm.jpg,EE BLACK PEPPER WHOLE 800G
EE EXTRA HOT CHILLI POWDER 1KG,ee-extra-hot-chilli-powder-1kg,spices,13.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_bbzcgibbzcgibbzc.jpg,EE EXTRA HOT CHILLI POWDER 1KG
EE CHILLI POWDER 1KG,ee-chilli-powder-1kg,spices,12.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_nnya87nnya87nnya.jpg,EE CHILLI POWDER 1KG
EE TANDOORI MASALA 1KG,ee-tandoori-masala-1kg,spices,12.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_po6ob3po6ob3po6o.jpg,EE TANDOORI MASALA 1KG
DARI COUSCOUS MEDIUM 1KG,dari-couscous-medium-1kg,grains-millets,4.49,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_bixo0hbixo0hbixo.jpg,DARI COUSCOUS MEDIUM 1KG
HEERA GRAM FLOUR 500G,heera-gram-flour-500g,flours-atta,2.49,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_59qg0m59qg0m59qg.jpg,HEERA GRAM FLOUR 500G
EE GRAM FLOUR 1KG,ee-gram-flour-1kg,flours-atta,3.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_xf7qulxf7qulxf7q.jpg,EE GRAM FLOUR 1KG
EE GRAM FLOUR 2KG,ee-gram-flour-2kg,flours-atta,6.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_4m1e4r4m1e4r4m1e.jpg,EE GRAM FLOUR 2KG
BALAH GRAM FLOUR 2KG,balah-gram-flour-2kg,flours-atta,5.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/Gemini_Generated_Image_ko5odkko5odkko5o.jpg,BALAH GRAM FLOUR 2KG
TS HOT & SPICY CHICKEN FRY MIX 300G,ts-hot-spicy-chicken-fry-mix-300g,spices,4.99,,yes,https://umamifoods.ie/wp-content/uploads/2026/08/spicy-fry-mix.jpg,TS HOT & SPICY CHICKEN FRY MIX 300G
